city_a,city_b,Cij
Zhengzhou,Shenyang,1
Wuhan,Nanchang,1
Wuhan,Macau,1
Wuhan,Jinan,1
Harbin,Nanjing,1
Harbin,Nanchang,1
Harbin,Macau,1
Harbin,Kunming,1
Changsha,Hohhot,1
Nanjing,Macau,1
Nanjing,Hohhot,1
Nanchang,Macau,1
Nanchang,Hohhot,1
Nanchang,Shanghai,1
Nanchang,Kunming,1
Shenyang,Hohhot,1
Macau,Hohhot,1
Macau,Jinan,1
Macau,Tianjin,1
Macau,Kunming,1
Hohhot,Chengdu,1
Hohhot,Jinan,1
Hohhot,Shanghai,1
Hohhot,Tianjin,1
Hohhot,Kunming,1
Jinan,Kunming,1
Yinchuan,Taipei,2
Chengdu,Taipei,1
